_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-07-19,07/19/2025,1.41036,JOD,USD,JOD,USD
2025-07-19,07/19/2025,5.29043,JOD,SAR,JOD,SAR
2025-07-19,07/19/2025,1.21346,JOD,EUR,JOD,EUR
2025-07-19,07/19/2025,209.86705,JOD,JPY,JOD,JPY
2025-07-19,07/19/2025,5.18031,JOD,AED,JOD,AED
2025-07-19,07/19/2025,1.05149,JOD,GBP,JOD,GBP
2025-07-19,07/19/2025,5.13456,JOD,QAR,JOD,QAR
2025-07-19,07/19/2025,1.13181,JOD,CHF,JOD,CHF
2025-07-19,07/19/2025,1847.56971,JOD,IQD,JOD,IQD
2025-07-19,07/19/2025,0.70904,USD,JOD,USD,JOD
2025-07-19,07/19/2025,3.75113,USD,SAR,USD,SAR
2025-07-19,07/19/2025,0.86039,USD,EUR,USD,EUR
2025-07-19,07/19/2025,3.67304,USD,AED,USD,AED
2025-07-19,07/19/2025,0.74555,USD,GBP,USD,GBP
2025-07-19,07/19/2025,86.1508,USD,INR,USD,INR
2025-07-19,07/19/2025,49.42087,USD,EGP,USD,EGP
2025-07-19,07/19/2025,3.6406,USD,QAR,USD,QAR
2025-07-19,07/19/2025,17.71037,USD,ZAR,USD,ZAR
2025-07-19,07/19/2025,40.3723,USD,TRY,USD,TRY
2025-07-19,07/19/2025,1310.0,USD,IQD,USD,IQD
2025-07-19,07/19/2025,0.18902,SAR,JOD,SAR,JOD
2025-07-19,07/19/2025,0.26659,SAR,USD,SAR,USD
2025-07-19,07/19/2025,0.22937,SAR,EUR,SAR,EUR
2025-07-19,07/19/2025,39.66915,SAR,JPY,SAR,JPY
2025-07-19,07/19/2025,0.97918,SAR,AED,SAR,AED
2025-07-19,07/19/2025,0.40969,SAR,AUD,SAR,AUD
2025-07-19,07/19/2025,0.19875,SAR,GBP,SAR,GBP
2025-07-19,07/19/2025,22.96664,SAR,INR,SAR,INR
2025-07-19,07/19/2025,13.17494,SAR,EGP,SAR,EGP
2025-07-19,07/19/2025,0.36612,SAR,CAD,SAR,CAD
2025-07-19,07/19/2025,0.97054,SAR,QAR,SAR,QAR
2025-07-19,07/19/2025,0.21394,SAR,CHF,SAR,CHF
2025-07-19,07/19/2025,2.57704,SAR,SEK,SAR,SEK
2025-07-19,07/19/2025,0.10256,SAR,OMR,SAR,OMR
2025-07-19,07/19/2025,0.08148,SAR,KWD,SAR,KWD
2025-07-19,07/19/2025,4.72135,SAR,ZAR,SAR,ZAR
2025-07-19,07/19/2025,1.91355,SAR,CNY,SAR,CNY
2025-07-19,07/19/2025,10.76271,SAR,TRY,SAR,TRY
2025-07-19,07/19/2025,1.71194,SAR,DKK,SAR,DKK
2025-07-19,07/19/2025,8.63217,SAR,thb,SAR,THB
2025-07-19,07/19/2025,0.44699,SAR,NZD,SAR,NZD
2025-07-19,07/19/2025,349.22836,SAR,IQD,SAR,IQD
2025-07-19,07/19/2025,0.82409,EUR,JOD,EUR,JOD
2025-07-19,07/19/2025,1.16226,EUR,USD,EUR,USD
2025-07-19,07/19/2025,4.35979,EUR,SAR,EUR,SAR
2025-07-19,07/19/2025,4.26904,EUR,AED,EUR,AED
2025-07-19,07/19/2025,0.86652,EUR,GBP,EUR,GBP
2025-07-19,07/19/2025,100.12976,EUR,INR,EUR,INR
2025-07-19,07/19/2025,57.43997,EUR,EGP,EUR,EGP
2025-07-19,07/19/2025,4.23133,EUR,QAR,EUR,QAR
2025-07-19,07/19/2025,0.93271,EUR,CHF,EUR,CHF
2025-07-19,07/19/2025,20.58408,EUR,ZAR,EUR,ZAR
2025-07-19,07/19/2025,46.92317,EUR,TRY,EUR,TRY
2025-07-19,07/19/2025,1522.56254,EUR,IQD,EUR,IQD
2025-07-19,07/19/2025,0.00672,JPY,USD,JPY,USD
2025-07-19,07/19/2025,0.02521,JPY,SAR,JPY,SAR
2025-07-19,07/19/2025,0.00578,JPY,EUR,JPY,EUR
2025-07-19,07/19/2025,0.02468,JPY,AED,JPY,AED
2025-07-19,07/19/2025,0.00501,JPY,GBP,JPY,GBP
2025-07-19,07/19/2025,0.33212,JPY,EGP,JPY,EGP
2025-07-19,07/19/2025,0.02447,JPY,QAR,JPY,QAR
2025-07-19,07/19/2025,0.19304,AED,JOD,AED,JOD
2025-07-19,07/19/2025,0.27225,AED,USD,AED,USD
2025-07-19,07/19/2025,1.02126,AED,SAR,AED,SAR
2025-07-19,07/19/2025,0.23425,AED,EUR,AED,EUR
2025-07-19,07/19/2025,40.51249,AED,JPY,AED,JPY
2025-07-19,07/19/2025,0.4184,AED,AUD,AED,AUD
2025-07-19,07/19/2025,0.20298,AED,GBP,AED,GBP
2025-07-19,07/19/2025,23.4549,AED,INR,AED,INR
2025-07-19,07/19/2025,13.45503,AED,EGP,AED,EGP
2025-07-19,07/19/2025,0.3739,AED,CAD,AED,CAD
2025-07-19,07/19/2025,0.99117,AED,QAR,AED,QAR
2025-07-19,07/19/2025,0.21848,AED,CHF,AED,CHF
2025-07-19,07/19/2025,2.63183,AED,SEK,AED,SEK
2025-07-19,07/19/2025,0.10474,AED,OMR,AED,OMR
2025-07-19,07/19/2025,0.08321,AED,KWD,AED,KWD
2025-07-19,07/19/2025,4.82172,AED,ZAR,AED,ZAR
2025-07-19,07/19/2025,1.95423,AED,CNY,AED,CNY
2025-07-19,07/19/2025,10.99152,AED,TRY,AED,TRY
2025-07-19,07/19/2025,1.74833,AED,DKK,AED,DKK
2025-07-19,07/19/2025,8.81568,AED,thb,AED,THB
2025-07-19,07/19/2025,0.4565,AED,NZD,AED,NZD
2025-07-19,07/19/2025,356.65265,AED,IQD,AED,IQD
2025-07-19,07/19/2025,0.6507,AUD,USD,AUD,USD
2025-07-19,07/19/2025,2.44086,AUD,SAR,AUD,SAR
2025-07-19,07/19/2025,0.55986,AUD,EUR,AUD,EUR
2025-07-19,07/19/2025,2.39005,AUD,AED,AUD,AED
2025-07-19,07/19/2025,0.48513,AUD,GBP,AUD,GBP
2025-07-19,07/19/2025,2.36895,AUD,QAR,AUD,QAR
2025-07-19,07/19/2025,0.95104,GBP,JOD,GBP,JOD
2025-07-19,07/19/2025,1.3413,GBP,USD,GBP,USD
2025-07-19,07/19/2025,5.03139,GBP,SAR,GBP,SAR
2025-07-19,07/19/2025,1.15404,GBP,EUR,GBP,EUR
2025-07-19,07/19/2025,4.92665,GBP,AED,GBP,AED
2025-07-19,07/19/2025,115.55407,GBP,INR,GBP,INR
2025-07-19,07/19/2025,66.28821,GBP,EGP,GBP,EGP
2025-07-19,07/19/2025,4.88314,GBP,QAR,GBP,QAR
2025-07-19,07/19/2025,54.15137,GBP,TRY,GBP,TRY
2025-07-19,07/19/2025,0.01161,INR,USD,INR,USD
2025-07-19,07/19/2025,0.04354,INR,SAR,INR,SAR
2025-07-19,07/19/2025,0.00999,INR,EUR,INR,EUR
2025-07-19,07/19/2025,0.04264,INR,AED,INR,AED
2025-07-19,07/19/2025,0.00865,INR,GBP,INR,GBP
2025-07-19,07/19/2025,0.57366,INR,EGP,INR,EGP
2025-07-19,07/19/2025,0.04226,INR,QAR,INR,QAR
2025-07-19,07/19/2025,0.02023,EGP,USD,EGP,USD
2025-07-19,07/19/2025,0.0759,EGP,SAR,EGP,SAR
2025-07-19,07/19/2025,0.01741,EGP,EUR,EGP,EUR
2025-07-19,07/19/2025,0.07432,EGP,AED,EGP,AED
2025-07-19,07/19/2025,0.01509,EGP,GBP,EGP,GBP
