_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-08-23,08/23/2025,1.41047,JOD,USD
2025-08-23,08/23/2025,5.29309,JOD,SAR
2025-08-23,08/23/2025,1.21491,JOD,EUR
2025-08-23,08/23/2025,209.20984,JOD,JPY
2025-08-23,08/23/2025,5.17994,JOD,AED
2025-08-23,08/23/2025,2.19474,JOD,AUD
2025-08-23,08/23/2025,1.0511,JOD,GBP
2025-08-23,08/23/2025,123.08026,JOD,INR
2025-08-23,08/23/2025,68.39715,JOD,EGP
2025-08-23,08/23/2025,1.96028,JOD,CAD
2025-08-23,08/23/2025,59310.19759,JOD,IRR
2025-08-23,08/23/2025,24.92289,JOD,SZL
2025-08-23,08/23/2025,5.13516,JOD,QAR
2025-08-23,08/23/2025,1.14093,JOD,CHF
2025-08-23,08/23/2025,13.5696,JOD,SEK
2025-08-23,08/23/2025,0.54232,JOD,OMR
2025-08-23,08/23/2025,0.43145,JOD,KWD
2025-08-23,08/23/2025,25.01271,JOD,ZAR
2025-08-23,08/23/2025,10.12773,JOD,CNY
2025-08-23,08/23/2025,57.7395,JOD,TRY
2025-08-23,08/23/2025,9.06924,JOD,DKK
2025-08-23,08/23/2025,46.07153,JOD,thb
2025-08-23,08/23/2025,0.53182,JOD,BHD
2025-08-23,08/23/2025,2.42283,JOD,NZD
2025-08-23,08/23/2025,126314.4991,JOD,LBP
2025-08-23,08/23/2025,1847.71363,JOD,IQD
2025-08-23,08/23/2025,0.70898,USD,JOD
2025-08-23,08/23/2025,3.75272,USD,SAR
2025-08-23,08/23/2025,0.86135,USD,EUR
2025-08-23,08/23/2025,148.3265,USD,JPY
2025-08-23,08/23/2025,3.6725,USD,AED
2025-08-23,08/23/2025,1.55603,USD,AUD
2025-08-23,08/23/2025,0.74521,USD,GBP
2025-08-23,08/23/2025,87.26198,USD,INR
2025-08-23,08/23/2025,48.49251,USD,EGP
2025-08-23,08/23/2025,1.38981,USD,CAD
2025-08-23,08/23/2025,42050.00034,USD,IRR
2025-08-23,08/23/2025,17.66994,USD,SZL
2025-08-23,08/23/2025,3.64075,USD,QAR
2025-08-23,08/23/2025,0.8089,USD,CHF
2025-08-23,08/23/2025,9.62064,USD,SEK
2025-08-23,08/23/2025,0.38449,USD,OMR
2025-08-23,08/23/2025,0.30589,USD,KWD
2025-08-23,08/23/2025,17.73362,USD,ZAR
2025-08-23,08/23/2025,7.1804,USD,CNY
2025-08-23,08/23/2025,40.9364,USD,TRY
2025-08-23,08/23/2025,6.42995,USD,DKK
2025-08-23,08/23/2025,32.66399,USD,thb
2025-08-23,08/23/2025,0.37705,USD,BHD
2025-08-23,08/23/2025,1.71775,USD,NZD
2025-08-23,08/23/2025,89554.99975,USD,LBP
2025-08-23,08/23/2025,1310.0,USD,IQD
2025-08-23,08/23/2025,0.18893,SAR,JOD
